Subject,Accuracy,Stability
1030,0.9913793103448276,0.9827586206896551
1105,0.9926108374384236,0.9975369458128078
1106,0.9877899877899878,0.9755799755799756
1241,0.9805352798053528,0.9805352798053528
1271,0.9904632152588556,0.9809264305177112
1314,0.9803646563814866,0.9943899018232819
1323,1.0,1.0
1337,1.0,1.0
1372,1.0,1.0
1417,0.9903264812575574,0.9806529625151149
1434,0.9897304236200257,0.9794608472400513
1544,0.9871299871299871,0.9948519948519948
1547,1.0,1.0
1595,0.9902912621359223,0.9805825242718447
1629,0.9906542056074766,0.9813084112149533
1716,0.9924242424242424,0.9974747474747475
1717,0.9910941475826972,0.9821882951653944
1744,0.9769230769230769,0.9923076923076923
1868,0.9892280071813285,0.9784560143626571
1892,0.9899874843554443,0.9799749687108886
1953,0.9927272727272727,0.9854545454545455
